CountryID,Q14_PD1,Q14_PD2,Q14_PD3,Q14_PD4,Q14_PD5,Q14_PD6,Q14_PD7,Q14_PD8,Q14_PD9,Q14_PD10,Q14_PD11,Q14_PD12,Q14_PD13,Q14_PD14,Q14_PD15,Q14_PD16,Q14_PD17,Q14_PD18,Q14_PD19,Q14_PD20,Q14_PD21,Q14_PD22,Q14_PD23,Q14_PD24,Q21_PD1,Q21_PD2,Q21_PD3,Q21_PD4,Q21_PD5,Q21_PD6,Q21_PD7,Q21_PD8,Q21_PD9,Q21_PD10,Q21_PD11,Q21_PD12,Q21_PD13,Q21_PD14,Q21_PD15,Q21_PD16,Q21_PD17,Q21_PD18,Q21_PD19,Q21_PD20,Q21_PD21,Q21_PD22,Q21_PD23,Q21_PD24,Q25_PD1,Q25_PD2,Q25_PD3,Q25_PD4,Q25_PD5,Q25_PD6,Q25_PD7,Q25_PD8,Q25_PD9,Q25_PD10,Q25_PD11,Q25_PD12,Q25_PD13,Q25_PD14,Q25_PD15,Q25_PD16,Q25_PD17,Q25_PD18,Q25_PD19,Q25_PD20,Q25_PD21,Q25_PD22,Q25_PD23,Q25_PD24,Q21_PT1,Q21_PT2,Q21_PT3,Q21_PT4,Q21_PT5,Q21_PT6,Q21_PT7,Q21_PT8,Q21_PT9,Q21_PT10,Q21_PT11,Q21_PT12,Q21_PT13,Q21_PT14,Q21_PT15,Q21_PT16,AidDataID,orgname
41,4,4.1875,,,2.796569,4.2,3.75,,3.954545,,3.1,3.625,,3.95,2.982143,3.272727,2,4.071428,2,3.780952,,,2.93766,3.453968,3.5,3.555556,,2.488095,0,2.918519,3.380952,,1.79798,,4.083333,2.75,,3.833333,2.995714,2,2.912699,3.245036,2.166667,3.642857,,,3.188133,3.352083,5,3.5,,,2.625,4.159544,3.4,,3.958333,,4.5,4,,2.666667,4.611111,3.75,3,4.175,3.5,4.1875,,,3.8125,3.964286,3.211397,2.630952,2.833333,3.074074,3.529335,,3.334127,3.394697,3.5,2.75,,3.088607,3.375,,,2.4,110593712,Georgia
42,2.987097,,,4.3125,,3.980952,2.5,,4.833333,,,3.15,4,4,3.375,,2.666667,,4.25,,,,2.5,4,2.61927,,1.75,3.875,,3.17207,2.626984,2.444444,3.4,5,,3.043135,3,3.5,2.5,,,4,4.25,,,,3.166667,,3.08046,,,3.833333,,4.055556,2.5,,4.75,,,3.05,3,3.5,4.166667,,,,3.6,,,,3.25,3.333333,3.50873,3.75,3.1875,2.977273,2.342592,,2.65325,2.388645,2.75,3.875,2.666667,2.122186,2.607143,2.777778,,3.194444,110593681,Republic of Ghana
43,4,2.8,3.589286,1.083333,1.5,2.083333,2.75,,4.2,4,4.333333,,,,2.333333,,4.266666,,3.17089,3.829545,2.8,,,2.4,3.6,,2.285714,0.3333333,3,0,1.785714,,3.5,2.75,2.916667,,,,1.333333,,2.57,,3.180322,3.589048,3,,,2.922807,5,,3.261905,1.25,1.5,,3.25,,3.6,4,4,,,,1,,4.222222,,3.285714,3.65,3,,,2.5,3.195455,2.36676,2.805882,2.892857,3.858333,2.166667,1.908553,2.925,4,,2.670046,3.054112,3.142857,,3.618182,,110593707,Republic of Guatemala
44,3.598485,2.509091,,,,3.386364,,,,,,,3.428571,,,,4,,,,,,4.25,2,2.90404,2.108333,2.888889,,1.555556,1.909091,,,,,,,,,,,0.3333333,3.767857,,,,,3.375,4.4,4,3.25,,,,,,,,,,5,,,,,3.5,,,,,,4.75,,3.25,3.087037,,3.375,,,,,,,3.2,4.45,,,,,110593481,Republic of Guinea
45,3.009524,,,5,,4,2.75,,3.833333,,4.3,,,,,,,2,3.5,,5,,,,2.588095,,,4,,4.416667,2.25,,3,,3.083333,,,,,3.75,,2.888889,,,4,,,,3.6,,,4.5,,3.666667,3.4375,,3.8,,,,,,,,,3.5,3,,4.25,,,,3.6875,3.875,4.416667,2,2.919643,,3.6875,4,,,,3.465278,,,,,110593683,Republic of Guinea-Bissau
46,3.444444,,4.142857,2.583333,1.428571,1.6,,,5,,3.46875,,,,,,,,,,,,,,2,,,3.333333,2.625,2.794118,1,,2.9375,1,4.125,3.375,,,,,,2.251316,,,,,,1.9,3,,,1.5,4,4.333333,,,4.5,,4.636364,2,,,,,,,,,,,,,1.794118,1.986111,1.4,3,3.011111,,1.2,,,2.041667,1.166667,3.178309,1.166667,2.75,1.8875,2.05,110593716,Cooperative Republic of Guyana
47,3.353086,,3.833333,2.944445,,2.1,4.416667,,2.7,,2.722222,3,2.875,,3.214286,3.363636,3.166667,3.5,,3.13,,,5,4,2.633428,2.5,2.888889,3.3,,2.800794,3.75,,2.829167,,2.583333,1.722222,,,3.111607,2.454545,3.666667,3.171052,,2.3,,,2.833333,1,3.238889,,2.75,4.125,,3.257143,3.846154,,3,,2.683333,4,3,,3.5,3,3.916667,,,3.086667,,,4,,2.944914,3,2.583333,2.946429,2.552068,2.958333,2.886158,2.568813,2.5,2,2.702597,2.643691,3.025,,3.282353,,110593708,Republic of Haiti
48,2.863636,3.6875,2.181818,,2.4,4.352941,1,,1.925,,1,3.357143,,2,3.857143,,2.633333,,1.833333,2.714286,,,4.458333,1.571429,2.823636,3.1875,2,0.8333333,,2,3,,1.627778,,,2.589286,,0,2.6,1.8,3.75,3.307692,1.666667,4.6,,,2.286111,2.047619,4,4.75,4.75,,,4.142857,3,,3.675,,,3,,0.6666667,,,,,4.666667,,,,4.125,3,2.855769,5,2.958333,3.781287,3.08125,3.384615,2.201042,2.297619,,2.25,2.8,2.229167,2.936966,1.428571,2.4,,110593642,Republic of Honduras
49,2.72807,,,,,3.285714,,,,,3.15,,,,3.9,,2.333333,,,,,,,,1.819549,,,,,3.428571,,,,,1.916667,,2.217391,,2.8,,2,,,,,,,,3.083333,,,,,3.666667,,,,,2.6,,,,3.5,,3.5,,,,,,,,3.428571,1.428571,2.095238,2,,,2.25782,3.428571,2.65,3.857143,3.333333,1.916667,3.428571,,,,4653485,Republic of India
50,2.9,,2,,,3.507576,4.5,,3,,2.424026,2.466667,3,,3.060606,4,3.428571,4,3.5,3.6,,2.4,2.425,3.5625,2.805556,,,3.25,,2.79596,2.952381,,2.680556,2.142857,2.323701,2.136364,2,,2.266317,2.333333,2.609154,2.305556,2.5625,2.554762,,1.2,1.3,2.583333,3.75,,,,,2.912699,3.541667,,3.5,,2.600649,3.285714,,,3.270833,3,3.541667,3,2.964286,3,,,3.125,3,2.594733,2.364719,2.071429,2.025,2.204311,,1.471083,2.377619,1.2,2.348214,2.257576,1.965,2.047009,2.653846,,,110593422,Republic of Indonesia
51,,,,,,2.822222,,,,,,,,,2.5,,,,,,,,,,,,,,,1.306667,,,4,,,,,,3,,,,,,,,,0,,,,,,2.5,,,,,,,,,3.333333,,,,,,,,,,2,,2,,,,2,1.333333,,,,,,,,1.2,110593637,Islamic Republic of Iran
52,,,,4,2.5,3.541667,2.857143,,,,4,,,,2.25,,,3.022222,4.125,,,,,3.4,1.5,3.85,,2.529293,1,1.213675,2.260714,2.0625,1.25,,2.333333,,,,3.2,,0.1818182,1.991667,3.265152,2.672222,,,2.666667,2.294118,5,,,,,3,2.083333,,,,3.333333,,,,3.3,,,3.738095,1.75,,,,,1,2.429808,2.283333,0.1818182,1.321225,1.888417,,2.22963,2.208333,1.541667,2.566667,2.3,2.447688,1.878788,2.454545,2.882353,3.03125,110593636,Republic of Iraq
53,4.263637,,4.9,4,,,2.851852,,,3,2,5,,,,,,,2,,,,,3.227273,2.621795,,,2.547619,,,3.333333,,,2.25,2,1.4,,,,3,,,3,3.111111,3.166667,,,3.592592,3.958333,,,4,,,3.363636,,,,1,,,,,,,,4,,,,,3.666667,2.624691,1.671429,2.2,3,2.540741,,3.75641,3.166667,1.8,3.208333,3,2.346154,3,3,4.333333,1.090909,110593643,Jamaica
54,2.666811,4,2.4,3,3.333333,4.25,3.190476,4.833333,3.236111,2.625,3.289216,,,,3.088889,3.285714,1.608696,1.785714,2.646104,5,5,,3.788095,3.980769,2.635108,2,2.85,2.333333,1.333333,5,2.491667,3.5,3.375,2.229167,1.918056,,4,,2.057389,,2.354167,2.126984,,1.725,,,2.68125,2.727273,3.228889,,2,3,2.5,4.333333,3.230769,3.85,3.851191,3.5,2.568627,,,,3.840336,,3.238095,3.083333,,4,,,3.316667,,2.707197,2.759259,3.4375,2.166667,2.130021,,2.416667,2.531945,2.833333,3,3.875,2.155555,,,4.461538,2.15,110593635,Hashemite Kingdom of Jordan
55,,,,5,,,,,,,4.333333,,,,,,,,,,,,4.5,,,,,2.916667,,2.666667,,,,,3.25,,1.545455,,,1,1.818182,2.855556,,,,,2,2.461539,,,,4.4,,,,,,,4.25,,,,,,,,,,,,3,,3.329545,2,,2.4,2.337392,,2,,,,,2.833333,,3.033333,,,110593537,Republic of Kazakhstan
56,3.9,5,3.2,3.222222,,3.066667,4.007143,,,5,3.5,,,4.714286,4.168803,,3.833333,,3.383333,3.6,,5,3.75,,2.766667,3.666667,2.25,2.909091,,4,3.578571,,,2.157895,3.958333,,,4,2.106421,,2.528195,3.4,3.111111,2.840741,,4,3.058824,,3.704545,4,2.5,3.428571,,4.035714,4.125,,,4,4.142857,,,3,3.4,,2.333333,,2.9,,,4,3.666667,,3.788889,2.658063,3.524445,2.157895,2.273968,,2.689773,4,5,3.5,2.855556,3.52732,0.8,2.333333,2.3,2.721428,110593663,Republic of Kenya
57,4.4,,3.5,2.428571,,4.020833,,,2.181818,,,,,,,,,2,2.333333,2.5,,,,,4,,3,3.714286,,4.409722,,0,3.090909,,,,,,,,,,2.666667,4.5,,,,,5,,,5,,4.3,,,3.25,,,,,,,,,,5,4,,,,,3.246032,1.30303,4.5,0.9090909,,,,1.791667,,,,3.560516,,,3.090909,0,110593745,Republic of Kiribati
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,0.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,3.5,,,,,,,110593659,Democratic People's Republic of Korea
59,3.409091,3.875,4.8,,3.519536,2,3.545455,,4.666667,2.375,,4.833333,2,,,4.363636,3,1.833333,4.2,3.190476,2.166667,,4.294118,4.944445,2.969697,2.125,3,2.75,2.888462,1.885714,2.590909,,3.095238,2.416667,,3.833333,3.285714,,,3.333333,2.75,2.888889,3.706349,2.619048,1.111111,,4.257516,3.592592,4.75,2,4,,3.928571,2,3.666667,,3,3,,4,3,,,,3,3.8,3.666667,1.833333,3.25,,3.939394,4.5,2.3,2.930292,3.235119,2.416667,3.435487,4.4,3.169652,2.469408,2.660714,2,3.1,2.844486,3.011728,3.548611,4,2.333333,110593732,Republic of Kosovo
62,3.285714,,,,,4.222222,2.090909,,,,,1.666667,,,2.238095,,,,4,,,,,,2.75,,2.384615,,,3.5,3.526786,,,,,2.526831,,,3.06746,2.333333,,,2.666667,,,,,,2.909091,,,,,4.2,,,,,,,,,3.865385,,,,3,,,,,,2.977273,,3.041667,,3.533333,,,2.875,3.08254,,2.75,2,2,,,,,Kurdistan
63,2,5,,2.666667,,,4.666667,,,,5,,,5,,,,,,,,,5,,2.375,3.666667,,3.333333,,,4,,,,,,,2,,,,3.833333,,,,,3.5,,2.5,,,4.5,,,5,,,,,,,4,,,,,,,,,3.2,,4.05,2.833333,,2.375,,,,4,,,,2.9375,,,,,,Kyrgyz Republic
64,2.671668,,,3.569986,,3.255952,3.2,3.833333,3.722222,2,4.589744,5,2,3.75,3.5,4.404762,3,,4,3,2.741071,3.013889,3.083333,2.99359,2.959809,,,3.765422,,3.375,3.2,3.722222,3.5,4,3.572649,3.098214,1.722222,3.166667,2.234127,3.142857,4.283333,3.442708,2.645833,3.138306,1.598214,2.267677,2.297917,2.983516,3.277778,,,4.507936,,3.777778,3.625,3.066667,4.375,5,3.388889,,4,4.75,4.5,3.5,4.666667,,3.471428,4.416667,3.416667,3.757143,4.333333,3.715909,3.564343,3.523326,2.731674,2.235931,3.069296,,3.485901,3.931548,2.920493,2.965278,,2.668732,2.605952,2.321429,3.333333,,110593658,Lao People's Democratic Republic
65,5,,,2,4,,,3.5625,4.3125,,5,,,,4,,3.777778,3.733333,3.333333,4.444445,,4.24359,3.769231,4.111111,2,,,3.208333,4,2.5,,3.520833,3.0625,1.4,2.662526,,1.25,,2.6,,2.988889,2.739335,3.111111,3.5,,2.538461,2.153846,2.326691,5,,,5,5,,,4.833333,4.333333,,4.230769,,,,1.333333,,3.857143,4.111111,4,2.75,,3.523809,3.5,3.833333,2.55,,2.771429,2,2.824115,2.666667,1.967949,2.255556,2.6,4,,2.999034,2.88141,,,,110593664,Kingdom of Lesotho
66,3.57971,,,2.5,3.288889,4.055423,2.738562,,,,3.304167,3.580952,2.375,3.01,,,2.776191,,,,3.333333,2.25,,3.833333,2.71688,2.29246,,1.375,3.125926,2.924242,2.87037,,,,2.727778,3.086735,2.25,3.358333,,,2.925,2.833333,,,3.666667,2.142857,,2.166667,3.666667,,,,4.033333,3.948148,3.637427,,,,2.946429,3.972222,3.666667,3.172619,,,3.444444,,,,2,2.4,,4.4,2.124455,2.488889,3.516667,2.272727,2.432199,,2.180769,2.130125,3.819444,,2.166667,3.016805,2.596405,3.5,2.166667,,110593665,Republic of Liberia
67,4.136905,3.54359,5,5,3.272727,3.997727,,3,3.611111,2.5,3.583333,,3.130592,,4.769231,,3.066667,3.337121,3.47118,3.708333,3,,4.909091,3,2.476364,2.765432,4.5,5,3.666667,3.310874,2.788889,2.714286,3.694444,2.333333,3,3.090909,3.12987,,2.538461,1.4,3.324405,2.722917,3.178819,3.326984,2.3,,3.001994,2.5,3.25,3.388889,,3.6,4.111111,3.8125,,3.192308,3.833333,3,2.5,,3.717949,,3.625,,3.5875,4,3.604167,3.595833,2.857143,,4.4,2.75,3.490807,3.18039,3.8125,3,3.384725,1.428571,3.128498,2.499708,2.481482,2.00641,2.852941,2.603023,2.898932,2.721154,,3.958333,110593734,Republic of Macedonia
68,4.8,,,2,,5,5,4.333333,,,2.25,,,,5,,4,,,,,3.25,,3.714286,3.2,,,2,,4,3,,,,3.125,,,,4,,4,,,,,1,,1.952381,4.25,,,2,,,4,,,,3,,,,,,2.666667,,,,,2.125,,3.611111,3.5,2.625,,,2,,,,4,,,4,,4,,,110593667,Republic of Madagascar
69,4.611111,,2.375,,3.625,3.208333,,,1.5,,4.5,2.666667,,,2.753333,3.181818,,2,3.8,,,4.730769,4.125,2.0625,2.409188,,2.75,,2.166667,2.746184,,,2.333333,,,4.33547,,,2.383333,2.69899,,2.833333,3,2.222222,,2.794872,1.9375,2.361053,3.722222,,3,,4,3.066667,,,,,,,,,4.083333,,,2.166667,3.8,,,3.25,3.833333,3.444444,2.648887,2.222222,2.222222,2.395833,3.196581,,1.597222,3.064189,1.8125,2.416667,,2.654311,2.474035,3.7,,,110593668,Republic of Malawi
70,,,,,,,,,,,4.5,,3.090909,,,,,,,3.1,,,2.160714,,,,,,,1.6,,,,,,,3.164773,,,,2,,,4.7,3,,3.916667,2.645833,,,,,,,,,,,,,4.2,,,,1.5,,,5,1,,,,3.058333,4.7,3.068182,,1.8,,3,4.7,4.7,,2.75,2.75,,,,,110593647,Republic of Maldives
71,2,2.333333,,,,3.790476,3,,,,3,,5,1,3.526316,,4.571429,4,3.4,,,,,,1,3.190476,,1.230769,,2.365801,2.482143,,,,1,,0.4545455,5,2.105263,2.25,2.5,2.668651,3,,,,,,3.333333,4.25,,,,3.272222,3.944444,,,,,,2.4,3,3.583333,,2.857143,4,2.666667,,,,,,2.618421,1.227273,2.105263,,1.96203,,2.375,2.467262,,,2.105263,2.736111,2.910714,,2,,110593669,Republic of Mali
72,,,,,,,,,,,3.230769,1,,,,,,,,,,,,1.909091,,,,,,,,,,,1.484615,5,,,,,,,,,,,,,,,,,,,,,,,2.5,4,,,,,,,,,,,,4.5,0.6666667,0.7179487,,,,,,0.4924242,,,2.833333,0.6666667,,,,,110593737,Republic of Marshall Islands
73,,4.15,,4.222222,,3.4,,,3.466667,,,3.666667,4.5,4.5,4,,4.277778,,2.2,,,,4.5,3.343534,,3.455555,,3.363605,,4,3,,3.342592,,,1.5,3.833333,4.5,2.708333,,4.081944,2.932713,3.222222,3.857143,5,,3.5,3.051527,,4.044445,,4.333333,,3.5,,,3.75,,,3,4.8,4.5,3,,4.416667,,3.666667,,4,,4,3.611111,3.304498,3.344031,3.15,4.083333,3.627023,,2.993056,3.02904,3.431818,3.700794,,2.888889,1.770833,3.227273,3.585664,3.410714,110593517,Islamic Republic of Mauritania
74,,1.875,4.529412,3.666667,,2,4,,4.25,,3.766667,1.55,,,3.764778,,3.666667,5,,,,,5,2.166667,,0.5,,3.333333,2.690476,4,3,,2.5,,2.545346,4.444445,2.142857,,3.28046,2,2.5,3.6,,,,,5,2,,2.25,,3.333333,,4,3.75,,4,,2.847756,4.285714,,,4.35,,5,4,,,,,5,2,2.64023,3.017989,2,2.5,2.530303,,4,2.295455,3.333333,,,,2.166667,2,,,110593744,Federated States of Micronesia
75,,,,,,2.5,3,,,,3.727273,,,,,,4,,5,3.928571,,,,3.635965,,,,3.25,2.5,3,2.75,,2.75,,3.727273,,,2.75,2,,3.375,3.966667,3.714286,3.392857,,,,3.75,,,,,,,3,,,,3.8,,,,,,3.666667,,4,4.090909,,,,3.5,3.727273,2.941667,3.125,,3.161555,3.058824,3,2.991071,,,2.75,2.910714,,2.75,,,110593736,Republic of Moldova
76,1.387097,3.472222,,,3.335512,3.25,3.740741,3.166667,3.722222,3.9375,4.875,2,2.5,,2.436752,,3.142857,,2.733333,,4.5,,1.5,,0.53125,2.653846,,2.111111,2.401961,2.375,2,3.094445,3.178571,3.375,2.5,,,,2.558025,,2.523809,2.222222,2.333333,,4.666667,,1.5,3.333333,2.375,3.285714,,,4,3.5,2.6,4,2.857143,3.111111,4.333333,,3.5,,4.130952,,3,,1.5,,,,4,,1.46903,,4,,2.502502,,0.9194711,1.055556,,2.111111,,4.666667,3.333333,,3.333333,2.7,110593478,Mongolia
77,3.176471,3.6,,,3.767544,2.715278,3.625,3.375,4.4375,,,3.380952,,,3.5,,,,4.825,,,,3.1625,,2.363636,2.2,,,2.071429,2.628572,3.386364,,2.668269,,,2.821429,,,3.5,,,,3.261905,4,,,3.9125,,3.028572,3,,,3.933333,4.5,2.875,,3.722222,,,3.3,,,4,,,,4.583333,,,,4.214286,,2.941586,,2.431818,,3.609127,,2.721537,3.373016,,,3.625,2.410985,4,,,,110593733,Montenegro
78,4.25,4.181818,2.722222,,,2.705556,,,,,2.944444,3.103448,,,,,,,2.454545,3.1,,,,5,3.625,,4,3.5,,2.699206,2,,,,3.236111,2.143678,,,1.8,,,2.207143,,3,,,,4.5,4,,4.333333,,,3.436111,,,,,3.933333,2.307692,,,,,,,,,,,,5,2.736111,2.222222,,,2.1,,2.55,2.641667,2.125,,,2.25,1.62069,,,4,110593654,Kingdom of Morocco
79,3.5,,,5,,3.666667,4.8125,,,,3.944444,2.173789,,3.5,,,4.5,,3.714286,5,,,,5,3,,,2.916667,,1.820513,3.178571,,,,2.645833,3.039886,,1.5,,,1.666667,3,2.142857,1.555556,,,,2.333333,3.5,,,4,,,4.125,,,,2.5,3.166667,,,,,,,3.4,3.333333,,,,,3,2.572421,,,1.921569,,,1.238095,2.25,,,3,,,,,110593497,Republic of Mozambique
80,3.561905,5,3.488889,2,,2.3125,3.171123,,,,3.166667,2.3,3.6,,1.666667,,3.833333,,3.444444,1,,,2.571429,,3.622222,2.916667,1.761905,3,,3.358947,2.682546,,,1.5,2.712301,1.166667,3.8,,2.166667,2.857143,2.208333,,2.052632,,,,3,,3.208333,3,2.5,,,2.375,2.26746,,,,2.957143,2,4,,4.5,,3,,2.6,,,,4,,2.947602,2.230206,2.895887,3.75,2.422515,,2.432071,2.804191,2.194444,2.777778,3.526316,2.715147,4.166667,,,,110593666,Republic of Union of Myanmar
81,3.720833,,2.539773,,,2.471428,,,2,,,2.95,,,,4,,,1.539683,1.214286,,,,3.538461,2.841667,,,,,2.824603,3.583333,,3,,,3.071429,,4,,3.208333,3,,1.380952,,,,0.9285714,3.785714,3.270833,,,,,4.5,,,3,,,4.25,,,,3.25,,,4,,,,,3.428571,2.990741,,2.405714,4,2.446429,4.25,1.770635,3.916667,4.25,,,3.053571,,4.25,,1.071429,110593638,Republic of Namibia
82,5,,,,,3.475992,3.038095,1.833333,,,,4.85,,,,3.333333,3.5,,,3,3.583333,,,1,3.1,,,,3,3.050283,3.491905,1.166667,,,2.076923,2.732143,1.979167,,,3.666667,3.25,3.325,,1.2,2.333333,,2,4.116667,3.55,,,,,3.308333,4.033333,5,,,,3.25,,,,3.25,4.333333,,,4,2.166667,,,3.625,3.415555,4.833333,,2.101191,3.65,,3.538462,3.325,3.8,3.583333,,3.325397,2,,,2.888889,110593661,Federal Democratic Republic of Nepal
83,3.842391,2.692308,5,5,,3.4,3.857143,5,,,,,,,,3,4.619048,3,4.5125,4.25,4,3.2,4.441176,,3.06,0.8461539,3.597826,4,,2.45,2.727273,3.333333,,,3.666667,1.746753,,,,2.75,3.12619,2.125,3.56875,3.666667,2.333333,2.8,2.529412,2.2,2.9375,,2.428571,3.5,,2.142857,4,3,,,,,,,,3,3.277778,1,4.1875,4.25,3,3,3.416667,,3.062917,3.037037,2.916667,3.25,2.858616,2.35,2.826667,2.932576,2.35,2.869048,2.75,3.5,,4,,,110593685,Republic of Nicaragua
84,1.25,,3.814815,2.5,2.333333,3.222619,4.25,,,4,,,,,1.444444,,,,,,2,,2.666667,,2.5,,2.407408,2.545833,2.75,2.463745,3.333333,,2.354167,2,,2.125,,,1,4,0,1.087413,,,,,,,,,2.083333,,3,2.958333,5,,,2,,,,,2,,,,,,,,,,1.887205,2.913636,,,0.7083333,,1.655787,3.416667,1.4375,3.083333,,1.752976,2.769231,2.272727,1.888889,3.875,110593538,Republic of Niger
85,2.276543,4.888889,3.666667,3.550347,3.214286,2.090909,2.606061,2.25,2.625,2,3.75,3.067398,,,1.833333,,2.333333,,2.575,,5,,,4,3.333333,1.043269,2.1,2.409722,2.607143,1.925926,2.758095,,3.333333,2.7225,3.75,2.635417,,,,,2.79375,,3.267045,2.6,,,,3,4,2.25,2.214286,3.875,3.75,2.888889,2.025,,3,3.25,3.25,3.333333,,,,,2.7,,2,,,,,5,2.820833,2.814261,3.277778,2.125,3.4,,2.599893,2.742361,1.666667,,3.425,,,,3.2,2.8125,50529105,Federal Republic of Nigeria
86,2.6,,,,3.761905,3,2.571429,,,,,,,,2.833333,,5,,,3,,,,,3.7,,,2.333333,2.560606,2,1.928571,,,,,,,,3,,5,,,1.333333,,,,,3.714286,,,,3.066667,3,3.571429,,,,,,,,2.8,,5,,,2.666667,,,,,2.219517,,,,4.222222,,,2.5,,,,3,,,,,110593660,Islamic Republic of Pakistan
87,3.14375,2.428571,2,1.545455,2.666667,,,4.692307,,3.833333,2.75,2.185185,,,,,4.5,,,2.636364,3,,3.289773,3.887213,2.375,1.952381,2.133333,3.181818,2.75,,,3.692308,4,4,3,2,,,1.857143,,4.25,2.866071,0.3333333,2.7,2,,3.391193,4.009339,3.625,2.8,4,4,4,,,4.285714,,4.25,3.285714,3.125,,,,,4.5,,,3.714286,3.5,,4.5,4.195188,3.590909,3.375,,,3.318964,,3.052032,,3.708333,2.482828,2.75,2.673077,3.4375,2.384615,3.173529,,110593693,State of Palestine
88,,,4.666667,3.128572,,3.666667,,2.8,2.453846,,3.578947,2.7,2.433333,,3.888889,4,1.1875,1.875,2.363461,1.6,,5,3.814103,2.366097,2.666667,0.5714286,2.111111,3.358974,,3.153846,,1.8,,,2.95,2.2,3.177778,,2.9,2,3.325,2.25,1.619231,2.6,,,3.119048,0.8194444,3.666667,,3.666667,4.75,,3.4,,4,4.333333,,3.461539,2.583333,3.875,,4,3,3.75,3,3.075,2.5,,,4.2,2.666667,3.144444,3.316667,2.565145,,3.031548,,2.251854,1.278846,,3.358974,,3.666667,2.575,2.5,3.416667,,110593650,Independent State of Papua New Guinea
89,3.891667,4,,3.714286,,3.75,,,4.769231,,,4.583333,,,1.8,2.916667,3.646825,,2,5,4.171429,3.12,2.927778,,3.038258,1.307022,3.833333,2.466667,1.625,1.789,,,3,,2.384615,1.869318,3,,1.95,3.388889,3.203241,3.5,,3.188187,2.864286,5,3.483333,,3.779762,4.333333,,3.666667,,3.222,,,5,,,4.125,,,4,4.076923,3.452381,,,3.583333,3.875,4.666667,3.5,,3.170191,2.089912,2.427323,3.414286,2.830958,,2.274445,3.208333,2.3,2.223477,3.027778,2.14119,,,2.237981,3.2,110593705,Republic of Paraguay
91,,,,3.444444,5,,,,,3,2.122378,2,,,1.333333,,4,,,4.271825,,,5,3,,,,3.888889,,,,,,0.5,2.019814,0,,,3.75,,1.919048,2.444444,,3.583571,,,4,2,,,,3.625,,,,,,,3.833333,,,,4.666667,,,,,4.247685,,,5,5,1.923077,3.4,3.557143,,2.253982,,3.303571,3.575,,3.888889,,2.378954,,,,1.9,110593639,Republic of Peru
92,3.75,3.769231,,3.714286,3,,3.125,,,,,,,3.8,3.076923,5,,5,3.28125,2,,1.5,3,2.66342,3.5,1.0625,,2.571429,4,1.933333,3.669643,,2.5,,,,,0,2.318182,3,,2.5,2.666667,3.480357,,4,2.621212,1.668452,4.571429,2,,3.25,4,,2.8,,,,,,,3.833333,4.538462,3.333333,,4,3.65,2,,3.666667,3.666667,2.327778,2.264547,2.666667,2.708333,2.318182,2.666667,2.5,2.962554,4.023809,2.625,,2.651695,,0.5,3,3,,110593656,Republic of Philippines
93,4.085714,,3.5,,,3.333333,,,,,,,5,,,,,,,4.9,4.25,,4.222222,5,2.857143,,,,3.181818,3.333333,,,,,3.375,0.8333333,4,,,3.5,,,,1.583333,3.571429,,2.222222,,2.9,,,,,4,,,,,,,3,,,,,,,3.6,4.5,,4.6,,3.291667,3.571429,,3,,1.583333,,1.605263,3.181818,,,2.469298,,,,,,Puntland
94,1.666667,,,,2,,,,,,,,,,,,,5,4,,,4.166667,,,0.9333333,,,,2.111111,3,,,,,,,,,,,,1.75,3.5,1.375,,3.488095,,,2.333333,,,,2,,,,,,,,,,,,,4,4.2,,,3.666667,,,3.142857,3.833333,,,2.258929,,2.459821,3.5,,,,0.9333333,3,,,,91605924,Romania
95,2.444444,,4.064286,,,3.479167,2.6,,,,2.494444,,2.358974,,,,2.333333,,,,,5,1.5,,1.916667,,2.37013,,,2.88125,1.486111,,,,2.537037,,0.6410257,,,,2.333333,,,2.9625,,2.3,2.129032,,3.714286,,2.966667,,,3.5,2.285714,,,,3.401852,,2.625,,,,2.333333,,,,,3,2.736842,,1.758013,,3.006354,1.384615,2.600926,,2.251344,2.215278,1.125,0.6,,2.252623,,3.5,,,110593542,Republic of Rwanda
96,,4,,4.196296,5,4.269048,,,,,,,,,4.333333,,2,,,,5,,5,,,1.333333,,2.577386,2.48,2.68,2.875,,2.944444,,,,,,2.666667,,3.625,2.629924,,,2.75,,1.833333,,,3,,3.5,4.285714,3.4,,,,,,,,,3,,2.666667,,,,3.666667,,3.5,,2.872222,2.317037,2.222222,,2.852619,,2.834074,2.905,2.5,2.493464,2.613333,2.715686,2.636364,,,,110593614,Independent State of Samoa
97,3.78125,,,,5,4,1.857143,,,,,,,,,,,,3,,5,,,,3.25,,,,2.727273,2.79764,2.528571,,,3,2.75,4.111111,,,,,3.6,4.4,2.848485,3,3.6,,2.8,,3.666667,,,,4.333333,3.8,3,,,,,,,,,,,,4,,4.5,,,,3.140339,3.3,3,3.075794,2.484848,,2.625252,3.269458,3.340909,3.8,2.681818,3.060043,3.966667,,3,,110593688,Democratic Republic of Sao Tome and Principe
