DID,Donor,AidDataID,Address,,CountryID,ISO-3,Recipient,CountryShort,AidDataID,Address
,,,,,67,MWI,Republic of Malawi,Malawi,110593668,
,,,,,68,MDV,Republic of Maldives,Maldives,110593647,
,,,,,69,MLI,Republic of Mali,Mali,110593669,
,,,,,70,MHL,Republic of Marshall Islands,Marshall Islands,110593737,
,,,,,71,MRT,Islamic Republic of Mauritania,Mauritania,110593517,
,,,,,72,FSM,Federated States of Micronesia,Federated States of Micronesia,110593744,
,,,,,73,MDA,Republic of Moldova,Moldova,110593736,
,,,,,74,MNG,Mongolia,Mongolia,110593478,
,,,,,75,MNE,Montenegro,Montenegro,110593733,
,,,,,76,MAR,Kingdom of Morocco,Morocco,110593654,
,,,,,77,MOZ,Republic of Mozambique,Mozambique,110593497,
,,,,,78,MMR,Republic of Union of Myanmar,Myanmar,110593666,
,,,,,79,NAM,Republic of Namibia,Namibia,110593638,
,,,,,80,NPL,Federal Democratic Republic of Nepal,Nepal,110593661,
,,,,,81,NIC,Republic of Nicaragua,Nicaragua,110593685,
,,,,,82,NER,Republic of Niger,Niger,110593538,
,,,,,83,NGA,Federal Republic of Nigeria,Nigeria,50529105,
,,,,,84,PAK,Islamic Republic of Pakistan,Pakistan,110593660,
,,,,,85,PSE,State of Palestine,Palestine,110593693,
,,,,,86,PNG,Independent State of Papua New Guinea,Papua New Guinea,110593650,
,,,,,87,PRY,Republic of Paraguay,Paraguay,110593705,
,,,,,88,PER,Republic of Peru,Peru,110593639,
,,,,,89,PHL,Republic of Philippines,Philippines,110593656,
,,,,,90,PSM,Puntland,Puntland,,
,,,,,91,ROU,Romania,Romania,91605924,
,,,,,92,RWA,Republic of Rwanda,Rwanda,110593542,
,,,,,93,WSM,Independent State of Samoa,Samoa,110593614,
,,,,,94,STP,Democratic Republic of Sao Tome and Principe,Sao Tome and Principe,110593688,
,,,,,95,SEN,Republic of Senegal,Senegal,110593742,
,,,,,96,SRB,Republic of Serbia,Serbia,110593615,
,,,,,97,SLE,Republic of Sierra Leone,Sierra Leone,110593696,
,,,,,98,SLB,Solomon Islands,Solomon Islands,110593616,
,,,,,99,SOM,Federal Republic of Somalia,Somalia,110593748,
,,,,,100,SSM,Somaliland,Somaliland,,
,,,,,101,ZAF,Republic of South Africa,South Africa,84,
,,,,,102,SSD,Republic of South Sudan,South Sudan,110593758,
,,,,,103,LKA,Democratic Socialist Republic of Sri Lanka,Sri Lanka,110593495,
,,,,,104,SDN,Republic of Sudan,Sudan,110593752,
,,,,,105,SUR,Republic of Suriname,Suriname,110593753,
,,,,,106,SWZ,Kingdom of Swaziland,Swaziland,110593704,
,,,,,107,SYR,Syrian Arab Republic,Syria,110593689,
,,,,,108,TJK,Republic of Tajikistan,Tajikistan,110593746,
,,,,,109,TZA,United Republic of Tanzania,Tanzania,110593754,
,,,,,110,THA,Kingdom of Thailand,Thailand,85,
,,,,,111,TLS,Democratic Republic of Timor-Leste,Timor-Leste,110593739,
,,,,,112,TGO,Togolese Republic,Togo,110593755,
,,,,,113,TON,Kingdom of Tonga,Tonga,110593651,
,,,,,114,TUN,Tunisian Republic,Tunisia,110593682,
,,,,,115,TUR,Republic of Turkey,Turkey,110593633,
,,,,,116,TKM,Turkmenistan,Turkmenistan,110593499,
,,,,,117,TUV,Tuvalu,Tuvalu,110593649,
,,,,,118,UGA,Republic of Uganda,Uganda,110593756,
,,,,,119,UKR,Ukraine,Ukraine,110593634,
,,,,,120,UZB,Republic of Uzbekistan,Uzbekistan,110593498,
,,,,,121,VUT,Republic of Vanuatu,Vanuatu,110593676,
,,,,,122,VNM,Socialist Republic of Vietnam,Vietnam,110593738,
,,,,,123,YEM,Republic of Yemen,Yemen,110593699,
,,,,,124,ZMB,Republic of Zambia,Zambia,110593740,
,,,,,125,EAZ,Zanzibar,Zanzibar,,"Somaliland Parliament, Hargeisa, Somalia"
,,,,,126,ZWE,Republic of Zimbabwe,Zimbabwe,110593686,
