DID,Name of Donor,Multilateral,DAC Bilateral,Non-DAC Bilateral,Q14_All,Q14_Rank,Q14_Percent,Q21_All,Q21_Rank,Q21_Percent,Q25_All,Q25_Rank,Q25_Percent,Q14_C1,Q14_C2,Q14_C3,Q14_C4,Q14_C5,Q14_C6,Q14_C7,Q14_C8,Q14_C9,Q14_C10,Q14_C11,Q14_C12,Q14_C13,Q14_C14,Q14_C15,Q14_C16,Q14_C17,Q14_C18,Q14_C19,Q14_C20,Q14_C21,Q14_C22,Q14_C23,Q14_C24,Q14_C25,Q14_C26,Q14_C27,Q14_C28,Q14_C29,Q14_C30,Q14_C31,Q14_C32,Q14_C33,Q14_C34,Q14_C35,Q14_C36,Q14_C37,Q14_C38,Q14_C39,Q14_C40,Q14_C41,Q14_C42,Q14_C43,Q14_C44,Q14_C45,Q14_C46,Q14_C47,Q14_C48,Q14_C49,Q14_C50,Q14_C51,Q14_C52,Q14_C53,Q14_C54,Q14_C55,Q14_C56,Q14_C57,Q14_C58,Q14_C59,Q14_C60,Q14_C61,Q14_C62,Q14_C63,Q14_C64,Q14_C65,Q14_C66,Q14_C67,Q14_C68,Q14_C69,Q14_C70,Q14_C71,Q14_C72,Q14_C73,Q14_C74,Q14_C75,Q14_C76,Q14_C77,Q14_C78,Q14_C79,Q14_C80,Q14_C81,Q14_C82,Q14_C83,Q14_C84,Q14_C85,Q14_C86,Q14_C87,Q14_C88,Q14_C89,Q14_C90,Q14_C91,Q14_C92,Q14_C93,Q14_C94,Q14_C95,Q14_C96,Q14_C97,Q14_C98,Q14_C99,Q14_C100,Q14_C101,Q14_C102,Q14_C103,Q14_C104,Q14_C105,Q14_C106,Q14_C107,Q14_C108,Q14_C109,Q14_C110,Q14_C111,Q14_C112,Q14_C113,Q14_C114,Q14_C115,Q14_C116,Q14_C117,Q14_C118,Q14_C119,Q14_C120,Q14_C121,Q14_C122,Q14_C123,Q14_C124,Q14_C125,Q14_C126,Q21_C1,Q21_C2,Q21_C3,Q21_C4,Q21_C5,Q21_C6,Q21_C7,Q21_C8,Q21_C9,Q21_C10,Q21_C11,Q21_C12,Q21_C13,Q21_C14,Q21_C15,Q21_C16,Q21_C17,Q21_C18,Q21_C19,Q21_C20,Q21_C21,Q21_C22,Q21_C23,Q21_C24,Q21_C25,Q21_C26,Q21_C27,Q21_C28,Q21_C29,Q21_C30,Q21_C31,Q21_C32,Q21_C33,Q21_C34,Q21_C35,Q21_C36,Q21_C37,Q21_C38,Q21_C39,Q21_C40,Q21_C41,Q21_C42,Q21_C43,Q21_C44,Q21_C45,Q21_C46,Q21_C47,Q21_C48,Q21_C49,Q21_C50,Q21_C51,Q21_C52,Q21_C53,Q21_C54,Q21_C55,Q21_C56,Q21_C57,Q21_C58,Q21_C59,Q21_C60,Q21_C61,Q21_C62,Q21_C63,Q21_C64,Q21_C65,Q21_C66,Q21_C67,Q21_C68,Q21_C69,Q21_C70,Q21_C71,Q21_C72,Q21_C73,Q21_C74,Q21_C75,Q21_C76,Q21_C77,Q21_C78,Q21_C79,Q21_C80,Q21_C81,Q21_C82,Q21_C83,Q21_C84,Q21_C85,Q21_C86,Q21_C87,Q21_C88,Q21_C89,Q21_C90,Q21_C91,Q21_C92,Q21_C93,Q21_C94,Q21_C95,Q21_C96,Q21_C97,Q21_C98,Q21_C99,Q21_C100,Q21_C101,Q21_C102,Q21_C103,Q21_C104,Q21_C105,Q21_C106,Q21_C107,Q21_C108,Q21_C109,Q21_C110,Q21_C111,Q21_C112,Q21_C113,Q21_C114,Q21_C115,Q21_C116,Q21_C117,Q21_C118,Q21_C119,Q21_C120,Q21_C121,Q21_C122,Q21_C123,Q21_C124,Q21_C125,Q21_C126,Q25_C1,Q25_C2,Q25_C3,Q25_C4,Q25_C5,Q25_C6,Q25_C7,Q25_C8,Q25_C9,Q25_C10,Q25_C11,Q25_C12,Q25_C13,Q25_C14,Q25_C15,Q25_C16,Q25_C17,Q25_C18,Q25_C19,Q25_C20,Q25_C21,Q25_C22,Q25_C23,Q25_C24,Q25_C25,Q25_C26,Q25_C27,Q25_C28,Q25_C29,Q25_C30,Q25_C31,Q25_C32,Q25_C33,Q25_C34,Q25_C35,Q25_C36,Q25_C37,Q25_C38,Q25_C39,Q25_C40,Q25_C41,Q25_C42,Q25_C43,Q25_C44,Q25_C45,Q25_C46,Q25_C47,Q25_C48,Q25_C49,Q25_C50,Q25_C51,Q25_C52,Q25_C53,Q25_C54,Q25_C55,Q25_C56,Q25_C57,Q25_C58,Q25_C59,Q25_C60,Q25_C61,Q25_C62,Q25_C63,Q25_C64,Q25_C65,Q25_C66,Q25_C67,Q25_C68,Q25_C69,Q25_C70,Q25_C71,Q25_C72,Q25_C73,Q25_C74,Q25_C75,Q25_C76,Q25_C77,Q25_C78,Q25_C79,Q25_C80,Q25_C81,Q25_C82,Q25_C83,Q25_C84,Q25_C85,Q25_C86,Q25_C87,Q25_C88,Q25_C89,Q25_C90,Q25_C91,Q25_C92,Q25_C93,Q25_C94,Q25_C95,Q25_C96,Q25_C97,Q25_C98,Q25_C99,Q25_C100,Q25_C101,Q25_C102,Q25_C103,Q25_C104,Q25_C105,Q25_C106,Q25_C107,Q25_C108,Q25_C109,Q25_C110,Q25_C111,Q25_C112,Q25_C113,Q25_C114,Q25_C115,Q25_C116,Q25_C117,Q25_C118,Q25_C119,Q25_C120,Q25_C121,Q25_C122,Q25_C123,Q25_C124,Q25_C125,Q25_C126,Q14_PD1,Q14_PD2,Q14_PD3,Q14_PD4,Q14_PD5,Q14_PD6,Q14_PD7,Q14_PD8,Q14_PD9,Q14_PD10,Q14_PD11,Q14_PD12,Q14_PD13,Q14_PD14,Q14_PD15,Q14_PD16,Q14_PD17,Q14_PD18,Q14_PD19,Q14_PD20,Q14_PD21,Q14_PD22,Q14_PD23,Q14_PGC1,Q14_PGC2,Q14_PGC3,Q21_PGC1,Q21_PGC2,Q21_PGC3,Q22_PT1,Q22_PT2,Q22_PT3,Q22_PT4,Q22_PT5,Q22_PT6,Q22_PT7,Q22_PT8,Q22_PT9,Q22_PT10,Q22_PT11,Q22_PT12,Q22_PT13,Q22_PT14,Q22_PT15,Q22_PT16
17,Bolivarian_Alliance_for_the_Peoples_of_Our_America,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Brazil,,,1,2.6006944,43,75.00%,1.4827591,45,78.57%,2.8270202,40,78.00%,,,,,,,,,3.1333333,,,1.3333334,,,,,,,,,,,,,3,,,,,,,1.75,2.35,,,,,,,,,,2.6375,,2.6222222,3,2.8,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2.25,,,,,,,,,,1.7833333,1.9166667,,,,,,,,,,,,,,,,,3.0555556,,,,,,2.6666666,,,,,,,,,,,,,3,,,,,,1.6666667,,,,,2.1555555,,,2.8333333,,,,,,,,,1.7222222,,,,1.375,,,,,,,1.4,,,2.25,,,,,1.375,,4.125,1.4375,,2.225,1.2916667,1.9729167,,,,,,,,,,,,,,,,,1.2222223,,,,,,,,,,,,,2.5555556,,,,,,,,,,2.1416667,1.4583333,,,,,,1.5625,0.83333333,,,,,,,,,,1.6666667,,,,,,3.3333333,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.3809524,3.5,2,2.5,3.1136364,3.4,,2.9666667,,2.5714286,2.3055556,,,,,,2.3333333,2.0833333,2.2916667,,,,2.652,2.0977778,2.8880952,1.1395062,1.3214286,1.8470238,1.595,1.130952,1.616667,1.5,1.118827,,0.9632353,1.692308,1.4,1.375,1.194444,1.366667,1.5,,3.25,2.125
22,Bulgaria,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Canada,,1,,2.7647635,40,69.64%,1.6510274,37,64.29%,2.9463248,34,66.00%,2.1577381,,,,,,2.5416667,,3.625,,,1.375,2.5,,2.9444444,,2.6339286,,2.1111111,2.5,,,,,3.125,,3.1625,,,,,2.625,,2.0555556,1.2222222,,,2.9375,,,3.5555555,2.3333333,2.4375,,,2.6666667,3.2777778,2.3055556,,2.1875,,,3.4666666,2.3511905,,3.8333333,,,,,,,,,,,2.1333333,,3.8333333,,,,,3.2666667,,2.425,3.1458333,,,,2.3333333,1.8928571,2.3125,2,2.0555556,,,2.3541667,3.5694444,,,3.375,,,1.9375,,,,,,2,2.625,,,,,,,3.2,,,,,,,,,,4.5555556,,,,,2.8333333,,1.5,2.1868236,0.41666666,0.75,1.5,,,2.0875,,2.3666667,3.0833333,,1.9,2.9444445,,2.25,1.2222222,2.0555556,0.88888888,2.075,1.3125,,,,,1.6388889,,1.9511905,,2.3055555,,,1.2083333,0.58333334,1.2333333,1.4444444,,,1.3958333,,,0.9375,3.2083333,2.2666667,3.6,,2.1011905,3.010641,2.4375,,1.3125,,1.1208333,2.0833333,1.8277778,0.60000002,2.2208333,,,2,,,,,,1.5,1.0833333,1.125,,2.7465278,,,,,2.6666667,,2.3154762,2.75,,,1.1111111,2.75,3.2,1.6785714,1.725,1.9666667,,3.1666667,2.2012987,2.4,,1.8571429,1.5833333,,,2.4196429,1.8055556,,,2.25,,1.0833333,2.1333333,1.3333333,1.1458333,,,0.53333335,,2.7345238,,1.5666667,,,1.25,0.625,,,1.7,2.0597222,,,3.6666667,,1.5625,,1.5401786,2.375,,,,,,1.7916667,,,,,,,,,,3.75,,3.2222222,,,,,,,,3,,,,,2.1666667,,,,,,2.625,,,,3.2777778,2.6666667,,,,2.9777778,,,,,,3.5,3.5,,3.3333333,,,,,,,,,,,3.0833333,,3.5,,,,,,,,,,,,,3.2,,,2.75,,,3.875,3.75,,,1.625,,,3.0833333,,,,,,,2.125,,,,,,,3.25,,,,,,,,,,,,,,,,,,2.4385965,2.5,3.0416667,2.7424242,2.6029412,2.7067901,3.6513889,2.8571429,2.5625,3.6666667,2.5686274,2.435,3.0606061,,2.5454545,3.1666667,2.15625,3.1666667,3.35,2.8020833,,3.4444444,2.65625,2.668254,2.8991764,2.8010369,1.4294392,2.054726,1.811317,1.74175,1.773256,1.739268,1.441667,1.41699,2,1.489197,1.888005,1.517857,1.30303,1.563333,1.738415,1.158254,1.926471,1.7475,1.674479
27,Caribbean_Development_Bank,1,,,3.9577778,2,1.79%,2.5343254,12,19.64%,3.4583333,11,20.00%,,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8333333,3.9722222,,,,,,4.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041667,1.8125,,,,,,2.388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,3.4375,,4.6666667,1.7083333,,3.2666667,1.25,,,,,,2.375,,,,,2.25,,,,
28,Central_American_Bank_for_Economic_Integration,1,,,2.2994048,53,92.86%,1.5115079,44,76.79%,2.875,38,74.00%,,,,,,,,,2.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,2.0333333,,,,,,,,2.0267857,,,,,2.1190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5833333,,,,,,,,,,,,,,,,,,,,,,,,,,1.691667,,,,,,,,1.5,,,,,1.916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.4,,2,,,,,,,2.444444,,,,,,,2,,,,,2.5,2,2.2333333,1.7738095,0.75,2,,,,,1.583333,,0.9222223,,,,,,,,,
29,China,,,1,2.5657798,45,78.57%,1.5602339,42,73.21%,2.7271825,41,80.00%,1.4166667,,,1.547619,,,,,,,,,,,1.4,,,2.3333333,2.75,2.6666667,,,,,,3.6666667,2.6,,,,,,2.1666667,1.5555556,,,,,,,,,,2.3333334,,,,,,2.4722222,,,3,1.4583333,,,,,,,2.875,2.25,,2.3087302,3.7,2.4111111,2.3333334,,2.3125,,,,,2.4583333,,1.5,2.625,3.1666667,3.2777778,3,,2.5,4,,2.1111111,,,2.1666667,,,,2.8333333,3.1111111,,1.8333333,,2.0333333,,,,,2.6666666,3.0833333,3.1111111,,,,,3.75,,,1.9,2.3333333,,,,,3.2,,,2.3690476,,,2.8650794,,2.875,1.9833333,,,2.7333333,,,,,,,,2.375,,,,,,2.7,2.6666667,,2.2222223,1.6666667,,,,2.4444445,1.3333333,,,,,,,0.66666666,,,,,1.8333333,,,,,1.9333333,,0.88888889,2.1111111,,,1.7777778,,,,0.08333333,,,,,,,,4.0833333,,1.9583333,2.1666667,0.86666667,1.3333333,,1.625,,1.5,,,1.75,,0.16666667,1.875,2.125,1.6666667,1.5416667,,,1.2222222,,0.55555554,,2.5,1.0833333,2.6666667,,,0.87499998,1.1666667,,1.125,,1.1333333,,,,,1.1333333,1.5,2.7541667,,,,,2.8333333,,1.75,1.3,1.2,,,,,1.8214286,,,0.90625,,,2.3511905,,1.6333333,,,,,,,,,,,,,,,,,,2.75,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8333333,,,,,,,,,,,,,,2.1666667,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,2.2222222,,,2.4241071,2.1130952,3.625,2.0833333,2.6746032,2.6956522,3.0625,2,,,2.3333333,2.3013889,2.1217949,,2.71,,2.6,2.6666667,2.28125,3.6428571,2.4,,2.4444444,2.6499843,2.4560544,2.6180272,1.4653665,1.4805322,1.7879085,1.396154,1.244253,1.521739,1.045455,1.15,,1.077922,1.271368,1.706349,1.462963,1.214286,1.038571,1.533333,,1.961539,1.142857
33,Denmark,,1,,3.4526944,14,23.21%,2.2900288,19,32.14%,3.3106725,18,34.00%,,,,,,,,,,,3.6479167,,,,,,4.6666667,,,,,,,,,,,,,,,,,,,,,,,,,4.4583333,,,,,,,,,,,,2.6666667,,3.6666667,,,,,,,,,,,,,,,,,,,,,3.4444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2666667,,,,,,,,,,,,,,,3.2777778,,,4.2222222,2.5965909,1.4583333,,,,,2.7222222,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1.2916667,,3.8333333,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,3.375,,,,,,,,,3.6388889,1.4,,,,,2.5,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4444444,,,,,,,,,3.625,,,,,,,,,3.2,,,,,4.3888889,,,,,4.0625,,,,3.9,,,,4.1333333,,,,3.75,3.5888889,3.4857143,4.1517857,2.4814815,2.6869048,3.4301587,2.898809,3,2.875,,2.451389,,2.425,2.878788,,,2.777778,2.555556,2.5,2.8,,2.666667
36,European_Bank_for_Reconstruction_and_Development,1,,,3.3488276,18,30.36%,2.4427619,14,23.21%,3.2958333,19,36.00%,,3.208333,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.113095,,,,,,,,,,,,,2.5,,,,,3.333333,,2.9,,,,,,,,,,,,4.25,2.725,,2.266667,,,,,,,,,,,,,,,,,,,,4.333333,,,,,,,,,,,,,,,,,,1.777778,2.6,,,,,,,,,,,,,2.9791667,,,2.5357143,1.6666667,,2.25,,,,,3.5,,,2.6666667,,,,,,,,,,,,,,,,,,2.625,,,,,,,3.0430556,,,,,,,,,,,,,0.33333331,2.875,,,,2.28125,,2.2395833,,,,,,,,,,,,3.2814815,2.1851852,,1.2777778,,,,,,,,,,,,,,,,,,,,2.9375,,,,,,,,,,,,2.475,,,,,,1.7083333,1.25,,,,,1.9583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,3.555556,,3.9,2.65,2.583333,,,,,,,3.833333,,3.444444,,,,3.5,,,,3,3.2784524,2.8461538,3.1875,2.5488662,2.25,2.4375,2.625,2.151961,,2,2.31746,,2.102564,2,2.083333,2.8,2,2.548611,,,,
37,European_Union,1,,,3.3323351,19,32.14%,2.9548203,4,5.36%,3.4379746,12,22.00%,2.8194445,4.125,3.7777778,2.8333333,3.3333333,,3.6666667,,4.2666667,3.7708333,3.5555556,,4.0119048,,2.5625,3.7291667,3.3125,3.2916667,2.6277778,2.3333333,4.5333333,3.65,,,,3.4166667,2.925,,3.6875,,,2.7797619,,2.875,2.0625,,,3.2916667,,2.9416667,3.518315,3.6166667,2.35,4.2222222,3.5,2.6111111,3.3375,2.5,,3.0416667,,2.7222222,3.8055555,3.0458333,,3.2,3,,3.8443452,,3.7222222,,,3.2083333,3.9955357,3.6767857,3.7857143,,4.2083333,,3.5416667,,3.7604167,2.6666667,3.9166667,3.5125,3.4291667,3.25,3.5833333,4.075,1.875,4.0625,2.8958333,,2.9305556,,3.125,3.5625,3.6736111,,4.3229167,3.6,,,2.3541667,4.5,3.95,2.5833333,,,2.875,2.5833333,,2.8055556,,,3.3555556,,4.1,,3.3888889,3.6,3.375,3.8,2.7714286,,3.8888889,3.4404762,4.125,,3.8,,2.5416667,3.6666667,,,2.9490231,4.0277778,2.625,2.3333333,3.169697,2.5,3.1369048,2.625,3.4722222,3.725,,2.7708333,4.0375,3.5,2.2166667,4.1916667,3.6666667,3.9880952,2.9744048,3.0857143,3.75,4.0791667,3.625,,2.2083333,2.9666667,3.3958333,2,3.9267857,,2.25,2.9568452,,3.0333333,2.5535714,,3.0555555,3.0194444,2,3.075,3.1493056,3.4916667,2.8732143,2.9166667,3.5625,2.475,3.0634921,2.7827381,,1.88125,,2.1770833,2.6388889,3.078869,3,3.3166667,2.7222222,,3.8337912,,2.6428571,3.4404762,3.8333333,3.0778846,3.7219697,3.4388889,3.5444444,,3.6553571,3.6666667,3.0178572,,3.9245192,,3.9625,3.5833333,3.175,3.25,2.8,2.6319444,3.0277778,3.4821429,2.5541666,1.7777778,3.5071429,,3.1,2.4666667,2.2809524,,3.8583333,2.7708333,2.8958333,2.4444444,3.1660714,4.2797619,3.5732143,3.6111111,3.4047619,,2.6458333,1.984127,2.225,2.4583333,,,2.1,2.95,2.7291667,,2.797619,3.325,2.9375,2.9375,3.9928572,2.875,2.9444444,3.1666667,3.4095238,2,3.0922619,2.625,2.5104167,2.775,,2.7440476,2.7321429,4.0416667,3.1666667,,4,,2.7291667,,,2.85,,,3.34375,4.1666667,,4.475,3.625,4.6,3.8222222,3.1666667,3.9444444,,3.25,,,2.7222222,3.25,,4.125,,,3.7666667,,2.625,,,,3.5,,3.5833333,3.5875,3.6875,3.0416667,,3.75,,3.3125,3.25,,2.75,,,,3.2761905,,3.9166667,,,4,,3.375,,,3.7291667,4.2380952,3.8666667,3.3666667,,3.9791666,,3.75,,4.125,,4.4166667,3.5,3.4666667,,3.7777778,2.7333333,,3.8630952,3.0833333,,3.2916667,,4.1666667,3.6666667,3.5,,4.7619048,3.3958333,,,3.4375,3.7083333,4.1875,2.4444444,,,3.1111111,1.6333333,,3.3333333,,,3.6666667,,3.8333333,,,3.8,3.5,3.5,4.0357143,,,3.1944444,3.5,,3.9333334,,2.2083333,3.8333333,,,3.3877551,3.2045455,3.8157895,3.2657658,3.4619048,3.3455128,3.4125,3.2333333,3.6089744,3.375,3.3185185,3.072973,2.9,3.15625,3.4032258,3.6176471,3.35,3.3703704,3.3076923,3.1868687,3.75,3.2916667,3.5302326,3.3782151,3.3772013,3.310341,2.9914286,3.0751654,3.0794796,2.832525,2.860784,2.989437,2.762681,2.768775,2.666667,2.780628,2.780013,2.727381,2.445946,2.953901,2.984524,2.503145,2.586667,3.096154,2.695652
38,Finland,,1,,3.7604167,4,5.36%,1.5859649,41,71.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,3.7777778,1.1666667,,,,,,,,,,,,,,1.5,,,,
40,France,,1,,2.6245717,42,73.21%,1.7035706,35,60.71%,2.7141998,42,82.00%,2.1845238,,,,,2.75,,,,4.5833333,,,,,1.875,2.3333333,3.175,2.8020833,2.0833333,2.45,,3.9583333,,,3.3333333,2.75,3.0833333,3.5,3.9583333,,2.875,2.375,,1.5555556,2.5555555,,,,,3.375,3.5416667,3.4444444,3,3.2083333,2.5,,3.0769841,,,1.9166667,,,,2.8833333,,3.75,,,3,3.3333333,,,,3.1388889,3.7777778,3.1309524,,,2.9583333,,3.9625,,,3.4166667,3.5833333,3.0625,2.6833333,,,,,3.5556818,3.375,,2.5333333,,,2,2.5,,3.6666666,1.5833333,,,2.1875,,,,,,1.6666667,,,,,,,,,,,3.375,,2.9,,,,,,,2.7222223,,3.3,,,,1.9349748,1.7333333,2.7916667,1.0833333,1.5111111,2.1428572,,,,2.470202,,1.4166667,1.2,,1.375,3.2222222,2.6840278,2.0583333,2.3060065,2.9642857,1.75,2.8420455,2.2708333,,1.2833333,2.1607143,2.3104167,2.7142857,3.6944444,,1.7,1.1666667,,0.99999998,1.7291667,,,1.4166667,0.88888889,0.93333333,2.375,3.0111111,,3.2380952,2.5416667,,2.539114,1.8333333,,1.2916667,,1.4444444,0.33333333,1.8472403,1.8,2.1309524,,,2.4166666,2.5,,3.0357143,,1.6904762,1.7962963,3.0701299,,,2.5619048,,2.358631,,2.4444444,0.625,,2.2675137,1.5,1.375,1.8055556,,,2.897619,2.1875,0.83333333,2.2301587,,,1.25,1.5535714,,2.5,0.66666668,,,2.5522727,1.8333333,,,,,1.2222222,,0.83333336,1.0666667,2,,1.4166667,,,,1.4444444,1.9325397,,2.3178572,1.0555556,1.2222222,,1.625,1.5,1.875,1.3333333,3,1.6125,,,1.5,1.8333333,,,,,,,,,,,,,,,,3.25,2.6833333,3.3888889,3.1444444,,2.8888889,,,,2.9166667,2.3333333,2.25,,,,,,,,,,,,,,3.1666667,,,,,2.8416667,,,,,,,3.2777778,,,,,,,,,,,2.8333333,3.6,,,3.3333333,,3.75,,,,,3.5555556,,,,,,3.25,,,2.5,,,,,,,,,,2.6375,,,,,,,,,,,,,,,,,3.1666667,,2.6666667,,,,,,,,,,,,,2.7279412,2.6376812,3.1875,2.9848485,3.2954545,3.1280812,3.0128205,1.5,3.1851852,,2.6666667,2.4206349,3.1153846,2.8,3.1140351,2.8888889,2.4583333,2.8181818,2.9833333,2.9411765,,3.25,2.7333333,2.846476,2.7874663,2.8015119,1.5886424,2.0076623,1.8836624,1.641096,1.605769,1.700855,1.695652,1.630394,1.5,1.292624,1.680606,1.91129,1.296296,1.977273,1.633636,1.707407,1.767857,2.375,1.796875
